Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
ROXBURY,COLUMBUS AV,1990,,,,,MBTA,Newport Construction,EXCA-1113486,CAPITAL,MEDIAN REMOVAL/CREW WILL BE ON STAND BY DURING ENTIRE LENGTH OF THE STORM,Days & Weekends,Oct 23 2020 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-222-5546,1,10B
ROXBURY,ELM HILL AV,2,25,,,,National Grid,FEENEY BRO,EXCA-1128342,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,IDLE,910,877-304-1203,1,10B
ROXBURY,ROXBURY ST,55,,,,,MBTA,Middlesex,EXCA-998318,NEW CONDUIT AND/OR MAIN,INSTALLATION OF TEST PITS (70) / DUCT BANK/,Days & Weekends,Apr 28 2021 12:00AM,Apr 28 2021 12:00AM,9,,PLATES PINNED & BERMED,,617-222-5546,1,10B
ROXBURY,WALNUT AV,215,249,,,,National Grid,Feeney Brothers Excavation,EXCA-1134727,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,9,,PLATES PINNED & BERMED,415,877-304-1148,1,10B
ROXBURY,CODMAN PK,,,,,,National Grid,Feeney Brothers Excavation,EXCA-1086760,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 29 2021 12:00AM,May  1 2021 12:00AM,,,TEMP FAILED,290,877-304-1203,1,10B
ROXBURY,BRINTON ST,1,31,,,,National Grid,Feeney Brothers Excavation,EXCA-1086769,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 29 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,235,877-304-1203,1,10B
ROXBURY,TOWNSEND ST,1,15,CODMAN ST,,,National Grid,Feeney Brothers Excavation,EXCA-1086766,CAPITAL,GAS MAIN TIE IN,Days & Weekends,May 29 2021 12:00AM,May  1 2021 12:00AM,,,IDLE,,877-304-1203,1,10B
ROXBURY,KENDALL ST,3,,,,,National Grid,National Grid,EXCA-1175650,MAINTENANCE,CORROSION WORK,Days & Weekends,Apr 27 2021 12:00AM,Apr 30 2021 12:00AM,,,NO START,,877-304-1203,1,10B
ROXBURY,ELM HILL AV,120,,,,,Verizon,Danella Co,EXCA-1177696,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,May  8 2021 12:00AM,May  8 2021 12:00AM,,,ON GOING,,800-446-8946,1,10B
ROXBURY,THORNTON ST,38,,,,,National Grid,National Grid,EMER-1155190,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr  9 2021 12:00AM,May  1 2021 12:00AM,2,,PLATES PINNED & UNBERMED,,877-304-1203,1,10B
ROXBURY,WARREN ST,,,,,,Eversource Electric,Sheerin Construction,EMER-1179329,EMERGENCY,CABLE REPLACEMENT,Days & Weekends,Apr 14 2021 12:00AM,May  1 2021 12:00AM,,,NO START,,800-592-2000,1,10B
ROXBURY,TREMONT ST,1350,,,,,Eversource Electric,Riley Brothers,EXCA-1179562,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Nights,May 13 2021 12:00AM,May 13 2021 12:00AM,0,,DOWN IN BINDER,410,800-592-2000,1,10B
ROXBURY,TREMONT ST,1350,,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047200,MAINTENANCE,CASTING REPAIR / NEIGHBORHOOD PERMIT,Days & Weekends,Apr 22 2021 12:00AM,May  1 2021 12:00AM,,,NO START,,617-989-7000,1,10B
ROXBURY,ELM HILL AV,48,,,,,Verizon,Danella Co,EXCA-1180428,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,May 15 2021 12:00AM,May 15 2021 12:00AM,,,IDLE/TEMP TO GRADE,120,800-446-8946,1,10B
ROXBURY,WARREN ST,300,,CLIFFORD ST,,,Eversource Electric,Sheerin Construction,EMER-1179342,EMERGENCY,MANHOLE REPAIR,Nights,Apr 20 2021 12:00AM,May  1 2021 12:00AM,0,,TEMP TO GRADE,,800-592-2000,1,10B
ROXBURY,CEDAR ST,18,,,,,National Grid,National Grid,EXCA-1182051,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May 19 2021 12:00AM,May 19 2021 12:00AM,,,NO START,,877-304-1203,1,10B
ROXBURY,CLIFFORD ST,18,,,,,Keash Excavating Inc,Keash Exc Inc,EMER-0000000,EMERGENCY,SEWER REPAIR,Days & Weekends,Apr 23 2021 12:00AM,May  1 2021 12:00AM,,,ON GOING ON PVT PROP,,857-231-1171,1,10B
ROXBURY,WALNUT AV,73,131,,,,National Grid,Feeney Brothers Excavation,EXCA-1181382,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 18 2021 12:00AM,May 18 2021 12:00AM,4,,PLATES PINNED & BERMED,713,877-304-1203,1,10B
ROXBURY,MONTROSE ST,2,33,,,,Boston Water & Sewer Commission,BWSC,EXCA-1181269,MAINTENANCE,PERM TRENCH REPAIR,Days & Weekends,Apr 30 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,WALNUT AV,286,,,,,National Grid,Feeney Brothers Excavation,EXCA-0000000,SERVICE,REPLACE MH W/DOUBLE DOORS IN SDWK,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,WARREN ST,517,,,,,Eversource Electric,Riley Brothers,EXCA-227716,MAINTENANCE,OUTAGE REPAIR,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,RUTHVEN ST,97,,,,,Boston Water & Sewer Commission,BWSC,EMER-1176467,EMERGENCY,SEWER REPAIR,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,RUTHVEN ST,71,,,,,National Grid,National Grid,EMER-1160721,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,VALE ST,0,,,,,Comcast,PV Barone,EXCA-1180665,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,,,DOWN IN BINDER,70,857-919-9355,1,10B
ROXBURY,THORNTON ST,188,,,,,Comcast,PV Barone,EXCA-1180661,SERVICE,RELOCATE CONDUIT,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,,,DOWN IN BINDER,65,857-919-9355,1,10B
ROXBURY,KEMBLE ST,85,,,,,"Sean Farrell Excavation, Inc.",Sean Farrell Excavation,EMER-0000000,EMERGENCY,FIREPIPE REPAIR,Days & Weekends,Apr 27 2021 12:00AM,Apr 30 2021 12:00AM,,2,PLATES PINNED & BERMED,,617-293 7660,1,10B
ROXBURY,COLUMBUS AV,1595,,,,,National Grid,National Grid,EMER-1160730,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,COLUMBUS AV,1922,,W WALNUT PK,,,National Grid,National Grid,,,,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,2,,PLATES PINNED & BERMED,,877-304-1203,1,10B
ROXBURY,CRAWFORD ST,29,,,,,Boston Water & Sewer Commission,Metro Equipment,EMER-1176478,EMERGENCY,LEAK REMOVAL,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,GLEN RD,,,GLENSIDE AV,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1047191,MAINTENANCE,CASTING REPAIR,Days & Weekends,Nov 30 2021 12:00AM,Nov 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,HUMBOLDT,140,,,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,Emergency - Cable Repair,Days & Weekends,,,,,ONGOING MH,,800-592 2000,1,10B
ROXBURY,WASHINGTON ST,2990,,,,,Eversource Electric,Eversource Electric,EMER-0000000,EMERGENCY,Emergency - Cable Repair,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592 2000,1,10B
ROXBURY,COLOUMBUS AV,1909,,,,,National Grid,National Grid,EMER-1160736,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304 1203,1,10B
ROXBURY,RUGGLES ST,180,,,,,Eversource Electric,Riley Brothers,EXCA-1185636,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Jun  8 2021 12:00AM,Jun  8 2021 12:00AM,,,ON GOING,113,800-592-2000,1,10B
ROXBURY,WASHINGTON ST,2300,,,,,Verizon,Danella,EXCA-1187876,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jun  1 2021 12:00AM,Jun  1 2021 12:00AM,,,IDLE,,800-446-8946,1,10B
ROXBURY,WAUMBECK ST,78,80,,,,BWSC,Umbro & Sons Con,EXCA-1047191,MAINTENANCE,CASTING REPAIRS,Days & Weekends,Nov 30 2021 12:00AM,Nov 30 2021 12:00AM,,,,,617-989-7000,1,10B
ROXBURY,WASHINGTON ST,2374,,,,,BWSC,Metro Equipmenet Corp,EMER-1176485,EMERGENCY,LEAK ON SERVICE,Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,,,617-989-7000,1,10B
ROXBURY,WASHINGTON ST ,2374,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1176485,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,May  5 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,HUTCHINGS,100,,,,,Eversource Electric,Mirra Company Co.,EXCA-227477,MAINTENANCE,PATCH REPAIR,Days & Weekends,,,,,IDLE/SDWK OPEN,,800-592-2000,1,10B
ROXBURY,COLUMBUS AV,623,,,,,National Grid,National Grid,EMER-000000,EMERGENCY,EMERGENCY CABLE REPAIR,Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,NO START,,877-304-1203,1,10B
ROXBURY,WARREN ST,476,,,,,Atomic Ant Construction,Atomic Ant Construction,EXCA-1181301,SERVICE,CUT AND CAP,Days & Weekends,May 18 2021 12:00AM,May 18 2021 12:00AM,,,NO START,,,1,10B
ROXBURY,WALNUT AV,120,,,,,Boston Water & Sewer Commission,W Walsh,EXCA-1178645,CAPITAL,TEMP WATER BYPASS,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,WARREN,394,,,,,Eversource Electric,Eversource Electric,EMER-1179353,EMERGENCY,Emergency - Cable Repair,Days & Weekends,May  7 2021 12:00AM,,,,NO START,,800-592 2000,1,10B
ROXBURY,WASHINGTON ST,2300,,,,,Verizon,Danella,EXCA-1187876,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jun  1 2021 12:00AM,Jun  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10B
MISSION HILL FENWAY,PARK DR,95,,,,,Eversource Electric,Sheerin Construction,EMER-1179354,EMERGENCY,Emergency - Manhole Structural Repair,Days & Weekends,May  7 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592 2000,1,10A
MISSION HILL/FENWAY,WIGGLESWORTH ST,7,,,,,Keash Excavation,Keash Excavation,EXCA-1171159,SERVICE,INSTALLATION OF FIRE PIPE,Days & Weekends,Jun 13 2021 12:00AM,Jun 13 2021 12:00AM,3,,PLATES PINNED & BERMED,,857-231-1171,1,10A
MISSION HILL/FENWAY,MINER ST,,,OPP 7 & 16,,,Boston Public Works,Maverick Construction,EXCA-1184707,MAINTENANCE,INSTALL CONDUIT,Days & Weekends,May 27 2021 12:00AM,May 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,JERSEY ST,63,,,,,Comcast,Mirra Co,EXCA-1099080,SERVICE,INSTALLATION OF CONDUIT,Weekends,May 18 2021 12:00AM,May 18 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,80,857-919-9355,1,10A
MISSION HIL/FENWAY,PETERBOROUGH ST,45,,,,,MT MAYO CORP,MT MAYO CORPORATION,EMER-0000000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,May  3 2021 12:00AM,May  3 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-586 52,1,10A
MISSION HILL/FENWAY,COMMONWEALTH AV,,,BROOKLINE AV,,,Eversource Electric,Riley Brothers,EXCA-1127918,MAINTENANCE,CONDUIT REPAIR,Nights,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,6,PLATES BERMED,,800-592-2000,1,10A
MISSION HILL/FENWAY,HILLSIDE ST,2,,,,,Eversource Electric,Sheerin Construction,EXCA-227716,MAINTENANCE,MANHOLE RECONSTRUCTION,Days & Weekends,May  4 2021 12:00AM,Dec 31 2021 12:00AM,3,,PLATES PINNED & BERMED,,800-592-2000,1,10A
MISSION HILL/FENWAY,QUEENSBURY ST,,,,,,Extenet Systems,Waveguide,EMER-0000000,EMERGENCY,CABLE REPAIR,Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,978-758-0208,1,10A
MISSION HILL/FENWAY,TREMONT ST,,,HOWARD ST,,,Eversource Electric,Eversource Electric,EMER-1043284,EMERGENCY,CABLE FAILURE,Days & Weekends,Apr 26 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10A
MISSION HILL/FENWAY,KILMARNOCK ST,,,VAN NESS,,,Verizon Wirelesss,Trek,EXCA-1175558,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT FOR STREET LIGHT POLE,Days & Weekends,Apr 24 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,165,800-852-2671,1,10A
MISSION HILL/FENWAY,TREMONT ST,1305,,,,,National Grid,National Grid,EXCA-1180223,MAINTENANCE,CORROSION WORK,Days & Weekends,May 14 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,SOUTH WHITNEY ST,3,5,,,,C McGue Excavating,C McGue Excavating,EXCA-1175493,SERVICE,"INSTALLATION OF WATER, FIRE AND SEWER",Days & Weekends,Apr 29 2021 12:00AM,Apr 29 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-778-8775,1,10A
MISSION HILL/FENWAY,PARKER ST,702,,,,,Eversource Electric,Mirra Co,EXCA-227381,SIDEWALK RESTORATION,SIDEWALK RESTORATION,Days & Weekends,Dec 31 2021 12:00AM,Dec 31 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 901,,,,,,National Grid,National Grid,EXCA-115936,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May  5 2021 12:00AM,May  5 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 811,,,,,,Verizon,MPS,EXCA-1173682,MAINTENANCE,REPLACE 2 HANDHOLES,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,0,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,PUBLIC ALLEY 810,,,,,,Verizon,Danella Co,EXCA-1173681,SERVICE,REPLACE EXISTING HANDHOLE,Days & Weekends,Apr 30 2021 12:00AM,Apr 30 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,JERSEY ST,63,,,,,Comcast,Mirra Co,EXCA-1099080,MAINTENANCE,CONDUIT REPAIR,Weekends,Apr 18 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,80,857-919-9355,1,10A
MISSION HILL/FENWAY,LOUIS PRANG ST,68,,,,,Waveguide,Commonwealth Construction,EXCA-993740,SERVICE,STREETLIGHT REMOVAL,Weekends,Apr  4 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-653-0010,1,10A
MISSION HILL/FENWAY,ST STEPHEN ST,57,109,,,,National Grid,National Grid,EXCA-1134583,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Apr 27 2021 12:00AM,Jul  1 2021 12:00AM,5,,PLATES PINNED & BERMED,671,877-304-1203,1,10A
MISSION HILL/FENWAY,TREMONT ST,1558,,,,,National Grid,National Grid,EXCA-1163295,MAINTENANCE,GRADE 2 LEAK REPAIR,Days & Weekends,Mar 24 2021 12:00AM,May  1 2021 12:00AM,,,NO START,,877-304-1203,1,10A
MISSION HILL/FENWAY,IPSWICH ST,168,200,,BOYLSTON ST,VAN NESS ST,National Grid,Feeney Brothers Excavation,EXCA-1087751,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Weekends,May  2 2021 12:00AM,May  2 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,450,877-304-1203,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1001,1074,,,,J. Derenzo Company,J. Derenzo Company,EXCA-1098225,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER AND SEWER SERVICE/SHORING,Days & Weekends,May 22 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,226,781-858-1657,1,10A
MISSION HILL/FENWAY,COMMONWEALTH AV,,,,,,Verizon Wireless,Riley Brothers,EXCA-1133367,MAINTENANCE,REROOF MANHOLE / REDESIGN ON HOLD,Days & Weekends,Dec  8 2020 12:00AM,Jun  1 2021 12:00AM,,6,PLATES BERMED,,800-852-2671,1,10A
EAST BOSTON,SARATOGA ST,9,100,,,,National Grid,Feeney Brothers Excavation,EXCA-1128346,NEW CONDUIT AND/OR MAIN,INSTALLATION OF NEW GAS MAIN,Days & Weekends,Apr 27 2021 12:00AM,Apr 27 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,BENNINGTON ST,11,80,,,,National Grid,Feeney Brothers Excavation,EXCA-1131837,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,May 27 2021 12:00AM,May 27 2021 12:00AM,5,,PLATES PINNED & BERMED,768,877-304-1203,1,09
EAST BOSTON,CHELSEA ST,129,,,,,National Grid,National Grid,EXCA-1175688,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,Apr 27 2021 12:00AM,May 10 2021 12:00AM,,,NO START,,877-304-1203,1,09
EAST BOSTON,MAVERICK SQ,44,,,,,National Grid,National Grid,EXCA-1120735,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,,,NO START,,877-304-1203,1,09
EAST BOSTON,EAST EAGLE ST,300,,,,,J & J Contractors,J & J Contractors,EXCA-1096311,SERVICE,INSTALLATION OF WATER SEWER AND DRAIN CONNECTIONS FOR NEW POLICE STATION,Days & Weekends,Apr 30 2021 12:00AM,May 10 2021 12:00AM,1,,PLATES PINNED & BERMED,,978-423 6823,1,09
EAST BOSTON,DECATUR ST,,,LIVERPOOL ST,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-1177335,NEW CONDUIT AND/OR MAIN,INSTALLATION OF DRAIN AND WATER MAINS,Days & Weekends,Jun  1 2021 12:00AM,Jun  1 2021 12:00AM,1,3,PLATES PINNED & BERMED,190,617-989-7000,1,09
EAST BOSTON,BENNNINGTON ST,58,,,,,Eversource Electric,Mirra Co,EMER-1179344,EMERGENCY,CABLE HIT BY CONTRACTOR,Days & Weekends,Apr 21 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,888-632-0931,1,09
EAST BOSTON,MERIDIAN ST,477,,,,,National Grid,Feeney Brothers Excavation,EXCA-1113097,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,Jun  3 2021 12:00AM,Jun  3 2021 12:00AM,1,,PLATES PINNED & BERMED,,877-304-1203,1,09
EAST BOSTON,BOARDMAN ST,11,,,,,National Grid,National Grid,EMER-0000000,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 30 2021 12:00AM,May 10 2021 12:00AM,,,DOWN IN BINDER,,877-304-1203,1,09
EAST BOSTON,MAVERICK ST,287,,,,,Atlantic Coast Utilities,Atlantic Coast Utilities,,,,Days & Weekends,,Apr 27 2021 12:00AM,2,,PLATES PINNED & BERMED,,617-721 9393,1,09
EAST BOSTON,CONDOR ST,97,,,,,Hercules Drain,Hercules Drain,EXCA-1103876,SERVICE,INSTALLATION OF WATER,Days & Weekends,May 10 2021 12:00AM,May 10 2021 12:00AM,2,,PLATES PINNED & BERMED,,781-251 9744,1,09
EAST BOSTON,TRUSTMAN TR,24,,,,,National Grid,National Grid,EMER-1160727,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 29 2021 12:00AM,May 15 2021 12:00AM,,,NO START,,877-304-1203,1,09
EAST BOSTON,SUMNER ST,164,,,,,EB Rotondi,EB Rotondi,EXCA-1146415,SERVICE,INSTALLATION OF WATER SEWER DRAIN AND FIREPIPE,Days & Weekends,May 19 2021 12:00AM,May 19 2021 12:00AM,3,,PLATES PINNED & BERMED,,781-248 6666,1,09
EAST BOSTON,BENNINGTON ST,690,,,,,National Grid,National Grid,EMER-1160725,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 28 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304 1203,1,09
EAST BOSTON,CHELSEA ST,337,,,,,Eversource Electric,Mirra Co,EXCA-227372,MAINTENANCE,CABLE REPAIR,Days & Weekends,Dec 31 2021 12:00AM,Dec 31 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,09
EAST BOSTON,MARION,,,,,,E.B. Rotondi & Sons Inc.,E.B. Rotondi & Sons Inc.,EXCA-1181739,SERVICE,INSTALLATION OF FIREPIPE,Days & Weekends,May 25 2021 12:00AM,May  7 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,781-248 6666,1,09
EAST BOSTON,MAVERICK,273,,,,,Eversource Electric,Sheerin Construction,EMER-1179350,EMERGENCY,REROOF MANHOLE,Days & Weekends,Apr 27 2021 12:00AM,May  7 2021 12:00AM,2,,PLATES PINNED & BERMED,,800-592 2000,1,09
EAST BOSTON,BENNINGTON ST,1100,,,,,National Grid,Feeney Brothers Excavation,EXCA-1179967,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,7,,PLATES PINNED & BERMED,,877-304-1203,1,09
EAST BOSTON,EUTAW ST,,,MARION ST,,,E.B. Rotondi & Sons Inc.,E.B. Rotondi & Sons Inc.,EXCA-1181739,SERVICE,INSTALLATION OF FIREPIPE,Days & Weekends,May 25 2021 12:00AM,May 25 2021 12:00AM,3,,PLATES PINNED & BERMED,,781-248 6666,1,09
EAST BOSTON,MAVERICK ST,273,299,,,,Eversource Electric,Sheerin Construction,EMER-1179350,EMERGENCY,REFOOF MANHOLE,Days & Weekends,Mar 27 2021 12:00AM,May 10 2021 12:00AM,,,NO START,,800-592-2000,1,09
EAST BOSTON,CONDOR ST,0,,EAST EAGLE ST,,,Public Facilities,J & J Contractors,EXCA-1117788,NEW CONDUIT AND/OR MAIN,INSTALLATION OF DRAIN LINE FOR POLICE STATION,Days & Weekends,Apr 30 2021 12:00AM,May 10 2021 12:00AM,1,,PLATES PINNED & BERMED,20,978-423 6823,1,09
EAST BOSTON,LEXINGTON ST,44,,,,,National Grid,National Grid,EXCA-1177766,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May  6 2021 12:00AM,May  6 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,EUTAW ST,49,,,,,National Grid,National Grid,EXCA-1177776,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May  6 2021 12:00AM,May  6 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
